,Education,Neuroticism (N-Score),Extroversion (E-Score),Openness (O-Score),Agreeableness (A-Score),Conscientiousness (C-Score),Impulsiveness (BIS-11),Sensation (SS),Alcohol,Amphetamines,Amyl nitrites,Benzos,Caffeine,Chocolate,Cocaine,Crack,Ecstasy,Heroin,Ketamine,Legal Highs,LSD,Methamphetamine,Magic Mushrooms,Nicotine,Semer,Inhalants/Volatiles,Age_18-24,Age_25-34,Age_35-44,Age_45-54,Age_55-64,Age_65+,Gender_F,Gender_M,Country_Australia,Country_Canada,Country_Ireland,Country_New Zealand,Country_Other,Country_UK,Country_USA,Ethnicity_1.90725,Ethnicity_Asian,Ethnicity_Black,Ethnicity_Other,Ethnicity_White,Ethnicity_White-Asian,Ethnicity_White-Black
1438,H,25,39.0,47,52,50,2,2,6,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1439,H,46,33.0,41,51,48,1,1,1,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1440,I,31,46.0,51,49,46,2,2,6,1,0,1,6,6,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1441,H,29,37.0,38,54,48,2,3,6,0,0,0,5,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1442,H,23,41.0,48,49,49,1,2,5,0,0,0,6,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1443,H,29,46.0,48,50,54,4,3,4,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1444,H,36,44.0,38,39,53,3,6,4,0,0,0,2,6,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1445,G,25,49.0,50,51,52,5,8,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1446,H,30,41.0,40,47,47,3,5,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1447,H,26,47.0,52,36,51,3,4,5,2,2,0,5,6,3,0,2,0,0,3,0,0,2,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1448,I,26,36.0,46,50,53,1,5,5,0,0,0,6,6,0,0,0,0,0,0,0,0,0,6,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1449,E,40,37.0,58,30,55,7,10,3,3,0,2,6,6,3,2,2,3,3,4,4,6,3,6,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1450,G,39,41.0,35,46,49,1,2,4,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1451,I,31,40.0,45,48,47,2,4,5,0,0,1,6,6,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1452,F,43,35.0,55,55,39,2,10,5,4,0,3,6,6,4,0,4,0,4,6,5,3,4,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1453,H,19,44.0,47,52,52,2,3,5,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1454,I,41,32.0,43,54,45,1,7,4,1,0,1,6,6,0,0,0,0,0,2,0,0,0,6,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1455,G,24,36.0,45,46,49,2,4,4,0,0,0,6,4,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1456,G,27,45.0,46,50,37,3,3,5,2,2,3,6,5,3,0,3,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1457,I,19,50.0,47,44,47,4,3,5,1,1,0,6,5,2,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1458,H,37,44.0,52,45,36,2,2,5,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1459,H,37,41.0,43,46,43,2,7,5,0,2,0,6,5,3,0,2,0,0,2,0,5,0,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1460,E,25,45.0,52,49,45,3,8,6,0,0,0,6,6,0,0,0,0,0,0,5,0,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1461,H,14,48.0,42,48,38,5,6,4,1,1,0,5,3,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1462,E,43,36.0,44,37,41,6,5,3,0,0,6,5,6,3,0,1,0,0,0,1,3,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1463,G,30,42.0,51,42,46,1,4,5,0,0,0,5,5,3,0,4,0,0,0,3,0,3,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1464,G,20,45.0,52,53,48,3,6,4,1,0,4,3,6,1,1,0,1,0,4,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1465,H,34,34.0,37,51,43,1,4,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1466,G,39,40.0,46,48,40,1,2,5,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1467,G,20,39.0,42,57,45,1,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1468,H,28,38.0,48,45,51,3,3,5,2,2,0,6,6,2,0,2,0,0,3,1,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1469,E,34,43.0,45,36,43,2,9,6,0,0,0,6,6,0,0,0,0,0,3,0,0,4,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1470,H,33,42.0,52,46,43,2,6,6,0,0,3,6,6,0,0,0,0,0,0,0,0,2,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1471,E,46,35.0,40,35,47,8,9,4,4,5,5,6,0,2,0,4,0,3,6,2,0,2,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1472,E,57,26.0,42,-27,24,7,9,5,6,3,4,5,5,4,2,5,4,3,3,3,4,3,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1473,F,32,37.0,45,40,43,2,3,5,2,0,0,6,5,5,2,4,0,0,2,5,0,2,6,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1474,E,40,35.0,46,41,32,1,7,6,3,0,0,6,5,0,0,0,0,0,3,6,0,3,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1475,E,27,49.0,56,43,38,8,10,6,3,2,2,6,4,3,0,5,2,0,3,3,3,3,5,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1476,F,35,36.0,31,43,40,2,3,5,3,0,3,3,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1477,E,49,42.0,51,49,43,2,6,3,2,0,6,6,4,2,2,3,2,0,2,2,6,3,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1478,G,51,22.0,47,43,26,6,0,4,1,0,1,2,6,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1479,I,27,40.0,47,44,47,3,5,5,0,0,3,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1480,G,33,43.0,51,53,41,2,8,5,4,3,0,5,6,2,0,4,0,3,5,0,0,3,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1481,F,41,32.0,43,44,33,6,3,3,1,0,3,6,6,2,0,0,2,0,2,2,0,2,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1482,I,26,49.0,40,49,46,2,4,5,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1483,E,25,47.0,54,32,37,5,9,6,3,2,0,6,6,0,0,3,0,0,0,3,0,4,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1484,G,35,38.0,37,43,47,2,2,5,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1485,G,43,40.0,45,36,46,7,4,6,5,3,5,6,5,4,0,6,3,4,5,4,3,4,6,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1486,E,31,37.0,45,31,32,8,10,6,0,0,2,6,2,2,0,2,0,0,0,2,2,2,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1487,I,49,35.0,42,33,49,6,0,5,1,2,3,6,5,2,0,1,0,0,2,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1488,H,35,47.0,36,40,36,6,9,5,0,2,0,5,6,4,0,4,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1489,E,50,36.0,41,40,30,7,8,6,4,0,5,4,6,0,0,6,0,0,3,5,0,3,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1490,E,34,38.0,50,44,40,7,9,4,5,2,3,6,5,2,2,2,0,2,5,2,0,2,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1491,E,55,33.0,43,41,29,7,6,5,4,0,5,6,6,4,4,3,0,2,3,0,2,0,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1492,E,45,16.0,43,33,28,8,8,5,6,6,4,6,6,4,0,5,0,5,6,4,3,3,6,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1493,E,28,33.0,46,39,39,2,6,4,2,2,0,4,5,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1494,H,25,41.0,48,37,35,4,9,5,5,0,0,5,6,5,0,5,0,0,5,4,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1495,A,42,39.0,43,40,34,4,4,5,4,0,3,6,4,2,2,0,0,0,0,2,0,2,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1496,G,26,46.0,49,43,46,6,9,5,0,0,2,6,6,0,0,0,0,0,0,1,0,1,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1497,I,32,43.0,46,39,42,5,9,5,4,0,4,6,3,3,3,3,3,3,3,3,3,3,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1498,E,42,41.0,50,29,42,8,5,4,0,0,0,6,5,0,0,0,0,0,4,0,3,3,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1499,G,40,26.0,52,42,38,4,4,6,0,0,0,6,4,0,0,0,0,0,3,3,0,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1500,G,31,43.0,55,41,39,4,8,6,3,3,3,6,5,2,0,5,2,3,4,5,3,2,5,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1501,G,31,40.0,44,44,38,7,9,6,4,0,3,6,5,4,0,4,0,3,3,3,0,5,6,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1502,F,52,19.0,48,51,36,3,5,5,1,0,0,6,5,1,0,0,0,0,0,2,0,2,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1503,I,36,50.0,53,47,54,3,4,6,0,0,0,4,4,1,0,0,0,0,0,1,0,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1504,B,59,-2.44904,53,38,25,3,3,4,0,0,6,6,5,2,0,0,0,0,3,0,0,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1505,G,46,35.0,52,31,39,4,7,6,0,3,3,6,6,0,0,3,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1506,F,43,31.0,51,47,42,5,8,5,1,1,4,5,5,2,1,2,0,0,2,1,0,2,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1507,E,45,24.0,45,40,35,1,3,0,0,0,0,6,6,0,0,0,0,0,3,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1508,G,43,34.0,56,44,32,3,4,5,5,0,3,6,6,5,0,3,0,0,4,3,0,2,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1509,A,56,35.0,48,39,41,1,3,6,0,0,3,4,5,0,0,3,0,0,2,0,3,4,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1510,E,34,36.0,40,39,38,3,0,3,0,0,2,6,3,2,2,2,0,0,2,2,2,2,6,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1511,D,48,22.0,48,41,27,4,4,3,2,0,4,6,6,2,2,2,4,0,2,2,6,2,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1512,E,46,37.0,46,34,33,8,9,6,5,0,6,6,6,4,0,0,0,0,3,0,6,0,5,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1513,D,28,52.0,56,36,39,8,10,5,4,0,2,6,5,0,0,4,0,0,4,6,3,3,6,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1514,I,42,30.0,55,37,38,8,8,5,3,1,2,6,6,3,0,1,0,0,0,1,2,1,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1515,F,36,28.0,57,37,43,4,7,6,0,0,3,5,5,0,0,0,0,0,3,4,3,0,3,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1516,E,33,34.0,37,34,27,2,6,0,2,3,2,3,1,3,2,1,2,1,2,1,2,4,2,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1517,E,49,38.0,45,42,32,4,5,5,3,2,2,6,6,5,0,4,0,2,2,0,0,2,6,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1518,F,49,28.0,53,37,31,7,8,5,5,0,4,5,6,2,0,4,0,3,5,5,2,5,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1519,F,35,19.0,54,52,45,1,0,3,6,3,5,6,3,5,0,5,0,5,5,5,5,4,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1520,E,44,53.0,57,44,37,8,10,4,6,3,4,6,6,3,0,3,2,0,5,5,3,5,6,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1521,D,51,23.0,54,46,31,5,7,2,2,0,2,6,5,0,0,2,0,0,3,2,2,3,6,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1522,B,44,48.0,48,35,35,6,10,6,4,0,0,6,3,0,0,0,0,0,3,3,0,0,6,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1523,D,41,48.0,54,40,38,8,8,5,3,0,3,6,5,2,0,0,0,0,4,0,3,4,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1524,E,45,40.0,53,35,30,7,7,6,3,0,4,6,5,0,0,0,0,0,3,4,2,3,6,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1525,G,20,52.0,50,33,43,7,10,6,0,2,0,6,5,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1526,E,22,46.0,56,43,41,7,8,5,6,2,5,6,6,4,3,4,0,3,5,4,0,3,6,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1527,A,25,33.0,53,51,38,6,9,3,0,0,2,6,6,0,0,0,0,0,3,4,0,5,2,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1528,G,34,46.0,54,48,40,3,6,5,6,4,4,6,6,3,0,2,0,0,6,3,0,3,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1529,E,46,27.0,50,42,22,6,5,5,3,0,3,5,4,3,3,4,2,0,4,3,3,3,6,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1530,E,27,48.0,43,39,42,6,9,5,0,0,0,6,6,0,0,0,0,0,3,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1531,D,36,42.0,39,45,37,2,8,6,5,4,3,5,6,3,0,4,0,2,3,2,6,0,5,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1532,E,39,40.0,40,39,38,2,6,5,3,2,0,6,5,3,0,4,0,3,3,1,0,1,5,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1533,E,31,45.0,48,55,53,1,5,5,6,0,4,6,6,4,0,4,0,4,3,2,0,3,4,4,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1534,E,37,33.0,38,46,33,2,8,5,0,0,0,6,4,3,0,3,0,0,5,4,0,3,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1535,E,36,51.0,42,40,55,6,10,4,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1536,E,47,35.0,52,49,35,7,8,6,3,3,4,6,4,3,3,3,3,3,4,3,3,4,6,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1537,E,42,39.0,57,52,43,6,3,6,0,0,0,5,5,0,0,0,0,2,3,4,0,3,6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1538,E,22,48.0,39,46,48,4,10,6,6,0,0,6,6,6,0,0,0,0,4,3,0,4,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1539,E,44,18.0,48,34,26,6,8,6,3,0,4,4,5,2,2,2,5,2,6,3,3,4,3,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1540,E,34,37.0,41,38,29,7,8,4,2,0,0,5,6,2,0,2,0,3,5,0,0,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1541,E,44,45.0,52,47,36,4,6,4,4,0,4,6,5,0,0,0,0,0,3,3,0,3,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1542,E,46,33.0,52,44,41,2,7,3,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1543,D,33,26.0,48,39,33,5,7,3,0,0,0,6,4,0,0,4,0,0,3,4,0,3,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1544,E,50,41.0,52,43,46,5,8,3,3,0,2,5,6,0,0,3,0,0,0,3,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1545,G,25,36.0,34,45,50,1,3,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1546,H,29,33.0,50,45,50,2,3,5,0,0,0,6,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1547,F,31,40.0,38,45,42,4,4,6,2,0,0,6,5,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1548,F,40,29.0,33,37,39,1,0,3,0,0,0,6,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1549,E,34,33.0,37,39,45,3,6,6,0,0,0,6,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1550,F,30,36.0,37,49,48,1,0,6,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1551,E,35,22.0,40,31,39,7,5,6,0,0,0,6,6,0,0,0,0,0,0,0,0,0,3,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1552,H,22,47.0,46,43,51,4,6,5,0,0,0,6,5,0,0,0,0,0,4,0,0,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1553,H,39,45.0,39,45,44,3,7,6,0,0,3,6,4,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1554,E,24,50.0,42,53,49,4,5,5,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1555,G,20,50.0,49,48,52,4,4,4,0,0,0,6,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1556,G,27,39.0,40,38,50,2,5,5,0,0,0,5,6,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1557,H,43,41.0,41,37,49,1,3,4,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1558,G,42,29.0,44,45,41,2,0,1,1,1,0,6,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1559,A,38,38.0,37,39,40,3,4,1,0,0,0,6,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1560,F,43,29.0,40,42,33,6,6,4,2,1,1,6,6,1,0,3,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1561,G,35,51.0,26,38,56,1,1,6,0,0,0,6,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1562,F,31,38.0,36,52,54,2,4,6,0,0,0,6,6,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1563,F,44,45.0,48,51,44,1,2,5,0,0,0,6,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1564,F,57,20.0,44,37,36,2,1,4,0,0,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1565,H,22,45.0,54,54,42,4,5,5,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1566,G,35,43.0,38,38,40,1,3,5,0,0,0,6,5,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1567,H,26,48.0,43,42,42,6,3,5,0,3,0,5,5,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1568,F,28,37.0,46,54,47,2,4,6,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1569,E,30,38.0,40,47,46,2,1,3,0,0,0,6,6,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1570,H,39,40.0,44,47,45,4,8,6,0,0,0,6,5,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1571,F,46,42.0,51,53,38,6,3,3,0,0,3,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
